Code    Description        Theta_r    Theta_s    Alpha      N          Ks         Ko         L          
                           cm3/cm3    cm3/cm3    1/cm       no units   cm/day     cm/day     no units   
4001795  4000241            0.09076    0.45722    0.02035    1.29600   17.19144    5.41765   -1.46740 
4001796  4000241            0.07045    0.42838    0.01946    1.39057   23.91420    7.01440   -0.92906 
4001833  4000247            0.09984    0.50576    0.01500    1.35332   18.84251    3.94712   -0.90724 
4001834  4000247            0.10840    0.55538    0.02082    1.27485   25.44353    6.59036   -1.64687 
4001835  4000247            0.10739    0.53866    0.01987    1.26833   17.38766    5.60330   -1.67413 
4001836  4000247            0.10457    0.52100    0.01799    1.28772   14.47792    4.73192   -1.41849 
4001837  4000247            0.10224    0.50160    0.01696    1.29146   10.91886    4.12286   -1.33943 
4001838  4000247            0.10229    0.50296    0.01736    1.28905   12.10343    4.27914   -1.37720 
4001841  4000248            0.09609    0.46181    0.01448    1.32139    6.73253    3.21019   -1.05899 
4001842  4000248            0.09698    0.46461    0.01496    1.30783    6.54422    3.29561   -1.15224 
4001843  4000248            0.09805    0.46717    0.01590    1.28366    6.44043    3.45748   -1.35443 
4001845  4000248            0.09838    0.46722    0.01644    1.27053    6.56226    3.54212   -1.48802 
4001846  4000248            0.09972    0.46801    0.01723    1.24334    6.54573    3.56666   -1.81512 
4001847  4000249            0.09537    0.45685    0.01607    1.29837    8.33936    3.59575   -1.27557 
4001848  4000249            0.09650    0.45945    0.01691    1.27804    8.35073    3.73124   -1.46105 
4001849  4000249            0.09831    0.46327    0.01774    1.24853    7.88263    3.76557   -1.78645 
4001850  4000249            0.09870    0.46417    0.01773    1.24435    7.65767    3.72698   -1.83493 
4001851  4000249            0.09753    0.46288    0.01703    1.26690    7.68058    3.69690   -1.55765 
4001853  4000250            0.08527    0.43226    0.01106    1.42561    6.72826    2.65204   -0.56229 
4001854  4000250            0.09299    0.45615    0.01311    1.36758    8.04370    3.02074   -0.80712 
4001856  4000250            0.09436    0.46181    0.01354    1.35758    8.48540    3.12208   -0.85844 
4001859  4000250            0.09575    0.46439    0.01525    1.32245    9.31271    3.50747   -1.09217 
4001861  4000251            0.08328    0.42171    0.01495    1.34328    6.38122    3.69768   -1.00201 
4001862  4000251            0.08337    0.42230    0.01583    1.32999    6.74229    3.94388   -1.09822 
4001863  4000251            0.06705    0.39744    0.01842    1.35441   10.67581    5.90567   -1.06245 
4001864  4000251           -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000   -9.90000 
4001865  4000251            0.04214    0.32361    0.04238    1.68548   54.11866   26.51494   -1.09137 
4001871  4000253            0.07024    0.43462    0.00752    1.57362   21.16666    2.34861    0.00237 
4001872  4000253            0.05977    0.34501    0.01151    1.38096    2.85136    3.23837   -0.73797 
4001873  4000253            0.06613    0.35391    0.01853    1.24858    2.24703    4.72199   -1.88508 
4001874  4000253            0.06726    0.34269    0.01586    1.25805    1.40662    3.83481   -1.68572 
4001875  4000253            0.05553    0.32976    0.00950    1.39559    2.10301    2.68130   -0.58689 
4001876  4000253            0.03604    0.29248    0.01715    1.33068    3.25026    6.81721   -1.13500 
4001887  4000256            0.08398    0.43165    0.00863    1.49273    6.81778    2.08218   -0.30362 
4001888  4000256            0.08623    0.41591    0.01040    1.40097    3.10810    2.25741   -0.61861 
4001889  4000256            0.08954    0.42109    0.01222    1.34134    2.75825    2.55517   -0.89836 
4001890  4000256            0.08757    0.40420    0.01292    1.30519    1.83776    2.63405   -1.12534 
4001892  4000257            0.08508    0.43372    0.01150    1.41973    7.25160    2.80130   -0.59383 
4001893  4000257            0.08773    0.44827    0.00844    1.49031    6.62089    2.01239   -0.26644 
4001894  4000257            0.09868    0.47024    0.01549    1.28901    5.78714    3.35980   -1.29277 
4001897  4000257            0.10185    0.47216    0.01708    1.23281    5.43044    3.39352   -1.94986 
4001898  4000258            0.07123    0.44669    0.00562    1.64246   33.60491    1.80471    0.24114 
4001899  4000258            0.05798    0.40044    0.00582    1.64158   24.80397    1.95506    0.17800 
4001900  4000258            0.03978    0.29235    0.02296    1.25171    2.77181    7.92019   -2.04011 
4001901  4000258            0.04267    0.30731    0.01813    1.30319    3.58612    6.38404   -1.34701 
4001902  4000258            0.05163    0.32007    0.01341    1.33387    2.49282    4.10613   -1.00375 
4001903  4000258            0.04947    0.30550    0.01358    1.31130    1.76594    4.15897   -1.14739 
4001934  4000263            0.08538    0.49141    0.00842    1.53066   36.41133    2.51673   -0.05845 
4001935  4000263            0.08576    0.49897    0.00844    1.53022   43.24431    2.58127   -0.03919 
4001936  4000263            0.07455    0.42318    0.00787    1.54816   11.23960    2.18953   -0.13853 
4001937  4000263            0.06033    0.35360    0.01212    1.38808    3.49901    3.49650   -0.73390 
4001938  4000263            0.06204    0.35406    0.01193    1.38154    3.12191    3.32997   -0.75078 
4001939  4000263            0.07149    0.37472    0.00898    1.44683    3.00851    2.19975   -0.45968 
4001940  4000263            0.06807    0.35433    0.01311    1.32018    1.91610    3.28383   -1.06981 
4001941  4000264            0.09790    0.46436    0.01694    1.26498    7.31790    3.65666   -1.56821 
4001942  4000264            0.10040    0.46763    0.01751    1.23195    6.68378    3.53161   -1.98605 
4001943  4000264            0.10617    0.46550    0.01826    1.18864    6.66287    3.08398   -2.95613 
4001944  4000264            0.10681    0.46541    0.01822    1.18738    6.45384    3.03381   -2.99515 
4001945  4000264            0.10399    0.46911    0.01764    1.20692    5.87544    3.22403   -2.44823 
4001947  4000265            0.07074    0.46475    0.00607    1.62225   52.48080    2.06856    0.27959 
4001949  4000265            0.05244    0.44040    0.00584    1.62791   97.61412    2.40857    0.46041 
4001950  4000265            0.06656    0.39356    0.00724    1.56520    8.90153    2.06398   -0.11109 
4001951  4000265            0.06164    0.36616    0.00703    1.54893    5.95642    1.96980   -0.16247 
