doi,lat,lng,HWSD_soil,slate_weather,topsoil_texture,landcover,growing_degree_days,soil_depth,old_elevation,new_elevation,africa_sis_sca,africa_sis_twi,slope,precipitation,aridity_index,country,aspect,worldkgeiger,fao_lgp,cereals_suitability_low_input,cereals_suitability_hight_input,namibia_slope (%),namibia_slope_reclassofied,namibia_plane_curvature,namibia_profile_curvature,namibia_dem,namibia_curvature
OU712,-19.35455834,14.11956998,18642,157348,11,51,4772,14,867,867,327,17,0,214,1276,516,281,4,4,6,6,1.383995652,1,0,0.023301415,867,-0.023301415
OU731,-19.35086221,14.12461712,18642,157348,11,51,4772,14,867,872,654,17,0,214,1276,516,301,4,4,6,6,1.033551335,1,0.006990425,-0.004660283,872,0.011650708
OU732,-19.3769585,14.11322624,18642,157348,11,51,4772,14,862,861,65535,22,0,211,1260,516,225,4,4,6,6,0.959628284,1,0,0,861,0
OU751,-19.35022921,14.14770427,18642,157348,11,51,4772,14,884,891,65,14,0,221,1310,516,180,4,4,6,6,0.978632689,1,0.029126769,-0.040777478,891,0.069904245
OU771,-19.34375444,14.15340209,18642,157348,11,51,4772,14,894,895,92,14,0,224,1326,516,18,4,4,6,6,0.429158807,1,0.023301415,-0.011650708,895,0.034952123
OU772,-19.37229672,14.11744767,18642,157348,11,51,4772,14,863,868,464,14,0,212,1269,516,259,4,4,6,6,6.379904747,3,0.008875098,0.078779347,866,-0.069904245
OU792,-19.36741207,14.10863517,18642,157348,11,51,4772,14,859,858,93,14,0,211,1258,516,288,4,4,6,6,0.542847753,1,0.023301415,-0.034952123,858,0.058253538
OU811,-19.33888231,14.15508737,18642,157348,11,51,4772,14,902,908,185,12,0,227,1339,516,58,4,4,6,6,10.28728676,4,0.049492206,0.026190791,911,0.023301415
OU812,-19.38498961,14.12315215,18642,157348,11,51,4772,14,867,886,276,12,0,211,1300,516,355,4,4,6,6,12.51202202,4,-0.028969327,0.087537751,881,-0.116507076
OU831,-19.34235516,14.15848216,18642,157348,11,51,4772,14,898,895,65535,24,1,228,1356,516,84,4,4,6,6,1.228923798,1,0,0.011650708,895,-0.011650708
OU832,-19.37705053,14.12087233,18642,157348,11,51,4772,14,864,868,92,13,0,211,1269,516,259,4,4,6,6,0.814271629,1,0,0,868,0
ang11,14.63325172,14.63325172,165,108389,13,51,7939,40,348,343,737,36,0,191,891,148,0,4,3,5,5,-1,-1,-1,-1,-1,-1
ang12,-17.95745017,14.6525311,18608,155189,13,41,5586,40,1123,1122,65535,23,0,396,2158,516,315,6,5,6,5,0.19192566,1,0,0,1122,0
ang13,-17.94543704,14.65214183,18608,155189,13,41,5586,40,1123,1126,92,14,0,396,2156,516,225,6,5,6,5,0.38385132,1,0,-0.011650708,1125,0.011650708
ang21,-18.08776903,14.45575884,18608,155908,13,41,4888,40,1184,1180,737,15,0,370,2067,516,45,6,5,6,5,1.461662292,1,-0.009320566,0.025631556,1180,-0.034952123
ang22,-18.07533231,14.46653776,18608,155908,13,51,4888,40,1166,1160,92,14,0,369,2060,516,108,6,5,6,5,0,1,0,0,1160,0
ang23,-18.11280732,14.44877512,18608,155908,13,41,4888,40,1189,1187,278,14,0,369,2075,516,45,6,5,6,5,1.547354102,1,0.000896208,-0.0107545,1189,0.011650708
